match_id;bachelor01_university;bachelor01_university_standardiz;bachelor01_degree;bachelor01_degree_standardized;bachelor01_major;bachelor01_major_standardized;bachelor02_university;bachelor02_university_standardiz;bachelor02_degree;bachelor02_degree_standardized;bachelor02_major;bachelor02_major_standardized;master01_university;master01_university_standardized;master01_degree;master01_degreestandadized;master01_major;master01_major_standardized;master02_university;master02_university_standardized;master02_degree;master02_degree_standardized;master02_major;master02_major_standardized;mba01_university;mba01_university_standardized;mba01_degree;mba01_degree_standardized;mba02_university;mba02_university_standardized;mba02_degree;mba02_degree_standardized;phd01_university;phd01_university_standardized;phd01_degree;phd01_degree_standardized;phd01_major;phd01_major_standardized;phd02_university;phd02_university_standardized;phd02_degree;phd02_degree_standardized;phd02_major;phd02_major_standardized;jd01_university;jd01_university_standardized;jd01_degree;jd01_degree_standardized
1689;Washington University in St. Louis;Washington University in St Louis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45234;Institut d'Enseignement Sup¨¦rieur de Namur (IESN);Other;BBA;Bachelor;Business Administration and Marketing;Other Business Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12560;University of Adelaide;University of Adelaide;BE;Bachelor;;;;;;;.;.;;;;;.;.;;;;;.;.;Columbia University;Columbia University;MBA;MBA;;;;;University of Adelaide;University of Adelaide;PhD;PhD;.;.;;;;;.;.;;;;
45217;Maharaja Sayajirao University of Baroda (The);Maharaja Sayajirao University of Baroda;BE;Bachelor;Electrical Engineering;Engineering;;;;;;;University of California, Irvine;University of California at Irvine;MS;Master;Electrical Engineering;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45346;University of lowa;University of lowa;BA;Bachelor;Broadcast Communications;Other;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;Creighton University School of Law;Creighton University;JD;JD
41066;University of Missouri-Columbia;University of Missouri at Columbia;BS;Bachelor;Civil Engineering;Engineering;;;;;;;;;;;;;;;;;;;Rockhurst College;Rockhurst University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41074;University of Colorado;University of Colorado;BS;Bachelor;Electrical and Electrical Engineering;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47103;University of Texas at Austin;University of Texas at Austin;BSEE;Bachelor;Electrical Engineering;Engineering;;;;;;;;;;;;;;;;;;;Boston University;Boston University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40486;Stanford University;Stanford University;BA;Bachelor;Computer Science;Computer Science;;;;;;;Stanford University;Stanford University;MA;Master;Computer Science;Computer Science;;;;;;;Stanford University;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45684;Western New England University (Formerly known as Western New England College);Western New England University;BSBA;Bachelor;;;;;;;;;;;;;;;;;;;;;Babson College;Babson College;MBA;MBA;;;;;;;;;;;;;;;;;;;;
